;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66905.0,0.0,0.0,0.0,3,BOX ELDER
2,30002,23.7,122.7,5.177215189873418,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1.3,66905.0,0.0,0.0,0.0,3,BOX ELDER
3,30003,15.9,61.9,3.893081761006289,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,0.9,51492.0,0.0,0.0,0.0,3,BOX ELDER
4,30004,4.3,13.199999999999998,3.069767441860465,0.0,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.2,51492.0,0.0,0.0,0.0,3,BOX ELDER
5,30005,61.70000000000001,167.5,2.714748784440842,8.299999999999999,0.9000000000000001,2.1,5.299999999999999,15.8,0.5,0.4000000000000001,1.5,0.6,0.3,0.6999999999999998,2.9,1.3999999999999997,0.0,0.0,4.1,3.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
6,30006,6.8,20.2,2.9705882352941178,4.4,0.0,4.4,0.0,5.500000000000001,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.4000000000000001,51492.0,0.0,0.0,0.0,3,BOX ELDER
7,30007,44.0,115.7,2.6295454545454544,56.2,5.799999999999999,26.0,24.4,146.20000000000002,3.8,2.0,8.4,17.6,1.5,3.8,3.2000000000000006,15.9,86.90000000000002,0.0,0.6999999999999998,2.4,51492.0,0.0,0.0,0.0,3,BOX ELDER
8,30008,48.1,144.4,3.002079002079002,44.0,11.6,0.7000000000000001,31.700000000000003,48.70000000000002,11.5,0.1,0.5,0.2,29.100000000000005,0.2,0.2,2.2,0.0,0.0,2.1,2.6,71055.0,0.0,0.0,0.0,3,BOX ELDER
9,30009,27.5,32.9,1.1963636363636363,67.89999999999999,2.8000000000000003,55.29999999999999,9.8,74.89999999999999,1.6000000000000003,1.2,5.0,50.29999999999999,0.9,2.3,1.9,4.7,0.0,0.0,5.5,1.5,51492.0,0.0,0.0,0.0,3,BOX ELDER
10,30010,18.4,56.70000000000001,3.0815217391304355,52.6,0.0,52.6,0.0,54.3,0.0,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,1.0,51492.0,0.0,0.0,0.0,3,BOX ELDER
11,30011,6.3,17.2,2.7301587301587302,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.3,71342.0,0.0,0.0,0.0,3,BOX ELDER
12,30012,17.7,56.5,3.192090395480226,0.0,0.0,0.0,0.0,2.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,1.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
13,30013,8.6,23.100000000000005,2.686046511627908,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.5,71342.0,0.0,0.0,0.0,3,BOX ELDER
14,30014,12.1,32.6,2.694214876033058,0.0,0.0,0.0,0.0,8.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.599999999999999,0.6999999999999998,71342.0,0.0,0.0,0.0,3,BOX ELDER
15,30015,1.0,2.7000000000000006,2.7000000000000006,299.79999999999995,18.1,212.3,69.39999999999999,321.1,10.5,7.599999999999999,123.7,88.59999999999998,5.599999999999999,14.5,12.0,37.3,19.8,0.0,1.3999999999999997,0.1,66905.0,0.0,0.0,0.0,3,BOX ELDER
16,30016,35.3,97.5,2.762039660056657,66.9,0.0,40.1,26.8,97.7,0.0,0.0,0.5,39.6,0.0,0.0,0.0,26.8,0.0,0.0,28.899999999999995,1.9,68948.0,0.0,0.0,0.0,3,BOX ELDER
17,30017,50.79999999999999,270.9,5.3326771653543314,0.0,0.0,0.0,0.0,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9,2.7999999999999994,71342.0,0.0,0.0,0.0,3,BOX ELDER
18,30018,0.0,0.0,0.0,778.5000000000001,41.6,593.8000000000001,143.1,781.9,24.2,17.4,458.6000000000001,135.2,12.9,33.4,27.5,69.3,0.0,0.0,3.4,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
19,30019,187.2,617.5,3.298611111111112,46.89999999999999,15.999999999999998,15.8,15.099999999999998,67.49999999999999,14.199999999999998,1.8,7.7,8.1,1.3999999999999997,3.5,2.9,7.3,0.0,0.0,10.3,10.3,68948.0,0.0,0.0,0.0,3,BOX ELDER
20,30020,173.0,411.7,2.379768786127168,129.3,21.6,32.8,74.9,151.9,16.0,5.599999999999999,23.3,9.5,4.2,10.6,8.9,51.20000000000001,0.0,0.0,13.1,9.5,79483.0,0.0,0.0,0.0,3,BOX ELDER
21,30021,25.100000000000005,69.3,2.760956175298804,451.80000000000007,17.9,371.9000000000001,62.0,482.80000000000007,10.4,7.5,343.1000000000001,28.8,5.599999999999999,14.4,11.9,30.100000000000005,0.0,0.0,29.600000000000005,1.3999999999999997,68948.0,0.0,0.0,0.0,3,BOX ELDER
22,30022,43.0,118.5,2.755813953488372,77.2,9.9,31.9,35.400000000000006,110.6,5.5,4.4,25.3,6.599999999999999,3.2999999999999994,8.1,6.900000000000001,17.1,0.0,0.0,31.0,2.4,68948.0,0.0,0.0,0.0,3,BOX ELDER
23,30023,50.5,217.30000000000004,4.302970297029704,151.8,17.3,73.4,61.10000000000001,173.9,9.8,7.5,47.6,25.8,5.599999999999999,14.1,11.800000000000002,29.600000000000005,0.0,0.0,19.3,2.7999999999999994,68948.0,0.0,0.0,0.0,3,BOX ELDER
24,30024,127.2,492.0,3.867924528301887,10.5,1.2999999999999998,3.3,5.9,29.9,0.6999999999999998,0.6,2.4,0.9,0.4000000000000001,1.1,2.1,2.3,0.0,0.0,12.4,7.0,68948.0,0.0,0.0,0.0,3,BOX ELDER
25,30025,300.0,811.6,2.7053333333333334,155.40000000000003,7.800000000000001,11.999999999999998,135.60000000000002,172.5,5.7,2.1,8.7,3.2999999999999994,1.5,104.40000000000002,18.5,11.199999999999998,0.0,0.0,0.6999999999999998,16.4,61738.0,0.0,0.0,0.0,3,BOX ELDER
26,30026,183.0,326.4,1.783606557377049,180.2,12.600000000000003,19.7,147.9,190.2,11.800000000000002,0.8000000000000002,10.2,9.5,0.6,42.79999999999999,81.4,23.100000000000005,0.0,0.0,0.0,10.0,54266.0,0.0,0.0,0.0,3,BOX ELDER
27,30027,29.899999999999995,82.5,2.7591973244147163,8.0,1.1,2.8,4.1,50.3,0.6,0.5,2.1,0.6999999999999998,0.4000000000000001,0.9,0.8000000000000002,2.0,0.0,0.0,40.7,1.6000000000000003,71342.0,0.0,0.0,0.0,3,BOX ELDER
28,30028,111.5,192.6,1.727354260089686,241.0,25.8,124.6,90.6,316.00000000000006,14.699999999999998,11.1,107.3,17.3,8.3,20.9,17.5,43.9,0.0,0.0,68.9,6.099999999999999,71342.0,0.0,0.0,0.0,3,BOX ELDER
29,30029,176.69999999999996,473.2,2.6779852857951334,3.3,0.3,1.7999999999999998,1.2000000000000002,24.7,0.2,0.1,0.6,1.2,0.1,0.3,0.2,0.6,0.0,0.0,11.699999999999998,9.7,71342.0,0.0,0.0,0.0,3,BOX ELDER
30,30030,309.3,762.2999999999998,2.464597478176527,83.3,8.3,2.9,72.1,100.3,8.3,0.0,0.0,2.9,31.8,0.0,32.3,8.0,0.0,0.0,0.0,17.0,50633.0,0.0,0.0,0.0,3,BOX ELDER
31,30031,200.0,470.8999999999999,2.3545,180.3,52.80000000000001,55.70000000000001,71.8,191.3,2.1,50.70000000000001,55.70000000000001,0.0,31.5,0.0,0.0,40.3,0.0,0.0,0.0,11.0,48874.0,0.0,0.0,0.0,3,BOX ELDER
32,30032,124.90000000000002,364.8,2.9207365892714168,3.3,0.3,1.7999999999999998,1.2000000000000002,14.2,0.2,0.1,0.6,1.2,0.1,0.3,0.2,0.6,0.0,0.0,4.1,6.8,54597.0,0.0,0.0,0.0,3,BOX ELDER
33,30033,151.1,494.3999999999999,3.2720052945069487,11.1,0.5,8.7,1.9000000000000004,22.2,0.3,0.2,1.0,7.7,0.2,0.4000000000000001,0.4000000000000001,0.9,0.0,0.0,2.7999999999999994,8.3,47880.0,0.0,0.0,0.0,3,BOX ELDER
34,30034,173.30000000000004,462.7,2.6699365262550483,16.3,1.0,10.9,4.4,25.8,1.0,0.0,10.9,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,9.5,72580.0,0.0,0.0,0.0,3,BOX ELDER
35,30035,257.1,669.7,2.604823026059899,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,69784.0,0.0,0.0,0.0,3,BOX ELDER
36,30036,110.09999999999998,206.7,1.8773841961852864,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,6.0,79483.0,0.0,0.0,0.0,3,BOX ELDER
37,30037,33.5,57.9,1.728358208955224,57.3,7.399999999999999,18.3,31.6,85.99999999999999,4.1,3.2999999999999994,13.4,4.9,2.5,6.099999999999999,5.2,17.8,0.0,0.0,26.899999999999995,1.8,71342.0,0.0,0.0,0.0,3,BOX ELDER
38,30038,1.9,5.2,2.7368421052631584,1226.3,12.800000000000002,1162.1,51.400000000000006,1227.7999999999995,7.400000000000001,5.400000000000001,1153.5,8.6,4.1,17.1,8.6,21.600000000000005,0.0,0.0,1.3999999999999997,0.1,71342.0,0.0,0.0,0.0,3,BOX ELDER
39,30039,69.4,181.2,2.6109510086455323,179.5,16.4,14.1,149.0,188.1,14.0,2.4,10.2,3.9,1.8,4.6,6.400000000000001,136.2,0.0,0.0,4.8,3.8,63775.0,0.0,0.0,0.0,3,BOX ELDER
40,30040,338.7,721.2999999999998,2.129613227044582,261.1,27.2,13.8,220.1,279.70000000000005,26.3,0.9,3.7000000000000006,10.1,49.20000000000001,74.6,31.600000000000005,64.7,0.0,0.0,0.0,18.6,44064.0,0.0,0.0,0.0,3,BOX ELDER
41,30041,107.7,230.4,2.139275766016713,565.1,193.40000000000003,90.5,281.2,574.4,177.80000000000004,15.6,65.5,25.0,11.6,29.899999999999995,52.70000000000001,187.0,0.0,0.0,3.4,5.900000000000001,37413.0,0.0,0.0,0.0,3,BOX ELDER
42,30042,67.6,226.6,3.35207100591716,81.60000000000001,0.0,0.0,81.60000000000001,87.4,0.0,0.0,0.0,0.0,1.9,0.0,0.0,79.7,0.0,0.0,2.1,3.7000000000000006,37413.0,0.0,0.0,0.0,3,BOX ELDER
43,30043,198.80000000000004,652.5,3.2821931589537217,81.40000000000002,0.5,1.5,79.40000000000002,98.50000000000004,0.3,0.2,0.9,0.6,0.2,33.2,45.20000000000001,0.8000000000000002,0.0,0.0,6.2,10.9,69838.0,0.0,0.0,0.0,3,BOX ELDER
44,30044,150.4,418.8,2.7845744680851063,0.0,0.0,0.0,0.0,17.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,8.2,79596.0,0.0,0.0,0.0,3,BOX ELDER
45,30045,128.5,378.6000000000001,2.946303501945526,25.8,0.0,0.0,25.8,49.3,0.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,0.0,0.0,16.5,7.0,79606.0,0.0,0.0,0.0,3,BOX ELDER
46,30046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79606.0,0.0,0.0,0.0,3,BOX ELDER
47,30047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71342.0,0.0,0.0,0.0,3,BOX ELDER
48,30048,9.0,31.8,3.533333333333333,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,0.5,71342.0,0.0,0.0,0.0,3,BOX ELDER
49,30049,26.899999999999995,74.4,2.765799256505577,265.7,106.7,65.5,93.5,303.0,71.7,35.0,47.5,18.0,8.5,21.7,18.0,45.29999999999999,0.0,0.0,35.8,1.5,71342.0,0.0,0.0,0.0,3,BOX ELDER
50,30050,77.8,214.6,2.7583547557840618,433.1,33.8,107.2,292.1,485.6,19.6,14.199999999999998,65.0,42.2,38.8,116.5,79.1,57.70000000000001,0.0,0.0,48.20000000000001,4.3,71342.0,0.0,0.0,0.0,3,BOX ELDER
51,30051,46.29999999999999,213.80000000000004,4.617710583153349,83.0,4.1,37.00000000000001,41.9,100.0,2.4,1.7,14.9,22.100000000000005,15.199999999999998,3.2999999999999994,16.5,6.900000000000001,0.0,0.0,14.5,2.5,53556.0,0.0,0.0,0.0,3,BOX ELDER
52,30052,46.0,97.59999999999998,2.1217391304347823,1800.2999999999995,0.0,94.0,1706.2999999999995,1802.8,0.0,0.0,94.0,0.0,0.0,0.0,12.699999999999998,1693.5999999999997,0.0,0.0,0.0,2.5,36260.0,0.0,0.0,0.0,3,BOX ELDER
53,30053,220.2,548.4,2.490463215258856,1237.3,234.8,22.100000000000005,980.4,1252.8,202.1,32.7,0.0,22.100000000000005,50.79999999999999,310.8,61.9,556.9,0.0,0.0,3.4,12.1,36260.0,0.0,0.0,0.0,3,BOX ELDER
54,30054,170.3,382.0,2.243100411039342,657.2,52.000000000000014,23.1,582.1,669.9,8.8,43.20000000000001,17.1,6.0,78.4,205.1,86.3,212.30000000000004,0.0,0.0,3.4,9.3,40402.0,0.0,0.0,0.0,3,BOX ELDER
55,30055,156.2,385.8,2.4699103713188224,210.5,0.0,0.0,210.5,219.1,0.0,0.0,0.0,0.0,1.6000000000000003,194.0,0.0,14.9,0.0,0.0,0.0,8.6,40402.0,0.0,0.0,0.0,3,BOX ELDER
