;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
30095,95,249.5,899.2,3.6,164.5,50.7,23.4,90.4,198.4,4.7,46,15.4,8,6.7,6.8,25,51.9,0,0,18.7,15.2,0,0,0,0,71901,562
30096,96,270.2,631.5,2.34,42.7,3.8,10.7,28.2,59.6,2.1,1.7,7.1,3.6,1.2,3.1,12.1,11.7,0,0,0.5,16.3,0,0,0,0,93342,0
30097,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0
30098,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0
30099,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90006,0
30100,100,51.2,186.3,3.64,2.1,0,0,2.1,36.8,0,0,0,0,0,0,2.1,0,0,0,31.3,3.4,0,0,0,0,90006,0
30101,101,413.7,1369.1,3.31,126.6,14,11.1,101.5,171.5,1.2,12.8,4,7.2,4.7,16.4,26.7,53.7,0,0,19.8,25.1,0,0,0,0,83414,0
30102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90006,0
30103,103,197.7,732.9,3.71,15.1,1.1,5.6,8.4,43.1,0.6,0.5,2,3.5,0.3,0.9,2.8,4.4,0,0,15.9,12.1,0,0,0,0,90006,0
30104,104,76,286.6,3.77,116,0,0,116,138.9,0,0,0,0,0,116,0,0,0,0,18.1,4.8,0,0,0,0,90006,0
30105,105,59.3,179.3,3.03,20.1,6.2,6.2,7.7,53.7,1.2,5,4.1,2.1,0.7,1.8,1.3,3.9,0,0,29.7,3.9,0,0,0,0,80348,0
30106,106,23.5,83.3,3.55,36.9,10.7,11.7,14.5,264,8.9,1.9,7.7,4,1.3,3.4,2.4,7.4,211.2,0,14.3,1.6,0,0,0,0,74493,0
30107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30108,108,53.4,146,2.73,0,0,0,0,80.3,0,0,0,0,0,0,0,0,0,0,76.3,4,0,0,0,0,80348,0
30109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0
30110,110,4.2,21.1,4.97,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,6,0.3,0,0,0,0,80348,0
30111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80348,0
30112,112,12,39.6,3.29,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,14.8,0.9,0,0,0,0,80348,0
