;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem
3001,1,111.8,313.6,2.81,34.7,1.6,3.1,29.9,57.3,1,0.6,2.3,0.8,0.5,25.9,1.1,2.5,0,0,16.1,6.6,0,0,0,0,64145,0
3002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3003,3,2.3,6.1,2.7,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,64145,0
3004,4,3.3,12.3,3.66,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3005,5,2,5.4,2.7,55.4,4.8,34.6,15.9,93.4,2.9,1.9,31.6,3.1,1.5,3.7,3.2,7.5,37.2,0,0.8,0.1,0,0,0,0,64145,0
3006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3007,7,6,18.1,2.99,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,64145,0
3008,8,3.1,7.1,2.32,0,0,0,0,16.7,0,0,0,0,0,0,0,0,16.5,0,0,0.2,0,0,0,0,64145,0
3009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3012,12,3.2,8.5,2.66,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,64145,0
3013,13,249.7,665.5,2.66,54.4,18.7,7,28.7,161,2.5,16.2,3.5,3.4,0.7,22.5,1.6,3.8,0,39,56.2,11.4,0,0,0,0,64145,0
3014,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
3015,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64145,0
