;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66905,0,0,0,3,BOX ELDER
2,30002,26.2,133.7,5.103053435,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,8.8,1.8,66905,0,0,0,3,BOX ELDER
3,30003,16.3,62.3,3.82208589,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1.6,0.9,51492,0,0,0,3,BOX ELDER
4,30004,4.5,13.4,2.977777778,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0.8,0.3,51492,0,0,0,3,BOX ELDER
5,30005,62.8,167.6,2.668789809,9.7,1.2,2.2,6.3,19.7,0.7,0.5,1.6,0.6,0.3,0.9,3.3,1.8,0,0,6.4,3.6,68948,0,0,0,3,BOX ELDER
6,30006,7,20.6,2.942857143,4.4,0,4.4,0,5.6,0,0,0,4.4,0,0,0,0,0,0,0.8,0.4,51492,0,0,0,3,BOX ELDER
7,30007,44,113.6,2.581818182,62.1,7.7,24.9,29.5,156.1,5.1,2.6,9.3,15.6,2,4.9,4.3,18.3,90.9,0,0.8,2.3,51492,0,0,0,3,BOX ELDER
8,30008,48.8,144,2.950819672,44.4,12.5,0.7,31.2,50.3,12.4,0.1,0.5,0.2,28.5,0.3,0.2,2.2,0,0,3.2,2.7,71055,0,0,0,3,BOX ELDER
9,30009,28.9,34.6,1.197231834,70.6,4,53.3,13.3,78.8,2.4,1.6,5.9,47.4,1.2,3.1,2.7,6.3,0,0,6.4,1.8,51492,0,0,0,3,BOX ELDER
10,30010,18.6,56.4,3.032258065,52.6,0,52.6,0,54.4,0,0,0,52.6,0,0,0,0,0,0,0.8,1,51492,0,0,0,3,BOX ELDER
11,30011,6.6,17.7,2.681818182,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.6,0.4,71342,0,0,0,3,BOX ELDER
12,30012,18.3,57.2,3.12568306,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,2.4,1.1,71342,0,0,0,3,BOX ELDER
13,30013,9.5,25.2,2.652631579,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,4,0.7,71342,0,0,0,3,BOX ELDER
14,30014,14.1,37.4,2.65248227,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,8,1.1,71342,0,0,0,3,BOX ELDER
15,30015,1,2.7,2.7,316.6,24.2,205.1,87.3,339,14.6,9.6,124.6,80.5,7.3,18.5,16.1,45.4,20.7,0,1.6,0.1,66905,0,0,0,3,BOX ELDER
16,30016,43.4,118.1,2.721198157,66.9,0,36.9,30,102,0,0,0.5,36.4,0,0,0,30,0,0,31.3,3.8,68948,0,0,0,3,BOX ELDER
17,30017,74.4,393.3,5.286290323,0,0,0,0,154.7,0,0,0,0,0,0,0,0,0,0,144.6,10.1,71342,0,0,0,3,BOX ELDER
18,30018,0,0,0,818.5,55.8,580,182.7,821.7,33.7,22.1,456.2,123.8,16.7,42.6,37.1,86.3,0,0,3.2,0,71342,0,0,0,3,BOX ELDER
19,30019,189.9,618.6,3.257503949,51.4,18.7,14.8,17.9,75.7,16.5,2.2,7.9,6.9,1.6,4.2,3.6,8.5,0,0,13.7,10.6,68948,0,0,0,3,BOX ELDER
20,30020,176,411.9,2.340340909,146.1,26.6,33.8,85.7,171.3,19.8,6.8,24.8,9,5.2,13.1,11.5,55.9,0,0,15.3,9.9,79483,0,0,0,3,BOX ELDER
21,30021,33.5,91.3,2.725373134,470.6,24.4,366.4,79.8,511.1,14.7,9.7,339.3,27.1,7.3,18.6,16.2,37.7,0,0,37,3.5,68948,0,0,0,3,BOX ELDER
22,30022,50.6,137.6,2.719367589,110.4,16.3,38.5,55.6,147.4,9.6,6.7,30.8,7.7,5.2,12.6,11.7,26.1,0,0,32.9,4.1,68948,0,0,0,3,BOX ELDER
23,30023,54.8,233.4,4.259124088,179.7,24.1,74.7,80.9,202.7,14.3,9.8,50.8,23.9,7.5,18.6,16.6,38.2,0,0,19.3,3.7,68948,0,0,0,3,BOX ELDER
24,30024,130.2,498.2,3.826420891,14.9,2.2,4.1,8.6,36.1,1.3,0.9,3.1,1,0.7,1.7,2.8,3.4,0,0,13.7,7.5,68948,0,0,0,3,BOX ELDER
25,30025,300,799.5,2.665,160.2,9.1,11.7,139.4,176.8,6.7,2.4,8.7,3,1.8,105.7,19.8,12.1,0,0,0.8,15.8,61738,0,0,0,3,BOX ELDER
26,30026,183,319.3,1.744808743,182.3,14,17,151.3,192,13.1,0.9,9.3,7.7,0.7,43.1,84.5,23,0,0,0,9.7,54266,0,0,0,3,BOX ELDER
27,30027,42.9,116.7,2.72027972,12.6,1.9,3.8,6.9,86.2,1.1,0.8,2.9,0.9,0.7,1.5,1.5,3.2,0,0,68.3,5.3,71342,0,0,0,3,BOX ELDER
28,30028,129,218,1.689922481,276.3,34.8,125.2,116.3,354.6,20.7,14.1,108,17.2,10.8,26.8,23.8,54.9,0,0,68.3,10,71342,0,0,0,3,BOX ELDER
29,30029,179.8,474.3,2.637931034,3.8,0.5,1.8,1.5,28.4,0.3,0.2,0.7,1.1,0.1,0.4,0.3,0.7,0,0,14.5,10.1,71342,0,0,0,3,BOX ELDER
30,30030,309.3,750,2.424830262,83.3,9,2.3,72,99.6,9,0,0,2.3,31.4,0,32.9,7.7,0,0,0,16.3,50633,0,0,0,3,BOX ELDER
31,30031,200,463,2.315,180.1,55.2,50.7,74.2,190.7,2.4,52.8,50.7,0,33.1,0,0,41.1,0,0,0,10.6,48874,0,0,0,3,BOX ELDER
32,30032,126,363,2.880952381,3.8,0.5,1.8,1.5,13.8,0.3,0.2,0.7,1.1,0.1,0.4,0.3,0.7,0,0,3.2,6.8,54597,0,0,0,3,BOX ELDER
33,30033,151.7,490.4,3.232696111,11.6,0.8,8.3,2.5,19.7,0.5,0.3,1.1,7.2,0.2,0.6,0.5,1.2,0,0,0,8.1,47880,0,0,0,3,BOX ELDER
34,30034,173.3,455.7,2.629544143,16.3,1.2,10.3,4.8,25.4,1.2,0,10.3,0,4.8,0,0,0,0,0,0,9.1,72580,0,0,0,3,BOX ELDER
35,30035,257.1,659.4,2.564760793,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,13.6,69784,0,0,0,3,BOX ELDER
36,30036,112.5,206.7,1.837333333,0,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0,10.4,6.4,79483,0,0,0,3,BOX ELDER
37,30037,40.3,68.1,1.689826303,89.3,13.3,25.6,50.4,124,7.8,5.5,19.4,6.2,4.3,10.2,9.6,26.3,0,0,31.3,3.4,71342,0,0,0,3,BOX ELDER
38,30038,2,5.3,2.65,1241.8,18.1,1156.3,67.4,1243.5,10.9,7.2,1147.3,9,5.5,21.5,12.2,28.2,0,0,1.6,0.1,71342,0,0,0,3,BOX ELDER
39,30039,70.6,181.6,2.57223796,185.9,19.1,14,152.8,196.3,16.3,2.8,10.4,3.6,2.2,5.5,7.5,137.6,0,0,6.4,4,63775,0,0,0,3,BOX ELDER
40,30040,338.7,708.1,2.090640685,263.5,30,12,221.5,281.4,29,1,3.8,8.2,49.5,75.2,33.1,63.7,0,0,0,17.9,44064,0,0,0,3,BOX ELDER
41,30041,107.7,226.2,2.100278552,601.8,216.3,87.3,298.2,610.7,198.5,17.8,65,22.3,13.5,34.3,59,191.4,0,0,3.2,5.7,37413,0,0,0,3,BOX ELDER
42,30042,68.2,225.8,3.31085044,81.7,0,0,81.7,87,0,0,0,0,2,0,0,79.7,0,0,1.6,3.7,37413,0,0,0,3,BOX ELDER
43,30043,200.6,650.1,3.240777667,82.1,0.6,1.4,80.1,98.5,0.4,0.2,0.9,0.5,0.2,32.8,46.2,0.9,0,0,5.6,10.8,69838,0,0,0,3,BOX ELDER
44,30044,153.1,420.2,2.744611365,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,8,8.5,79596,0,0,0,3,BOX ELDER
45,30045,132.7,385.8,2.907309721,25.8,0,0,25.8,51.3,0,0,0,0,25.8,0,0,0,0,0,17.7,7.8,79606,0,0,0,3,BOX ELDER
46,30046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79606,0,0,0,3,BOX ELDER
47,30047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71342,0,0,0,3,BOX ELDER
48,30048,9.4,32.7,3.478723404,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,1.6,0.6,71342,0,0,0,3,BOX ELDER
49,30049,36.6,99.7,2.724043716,299.3,120.3,66.3,112.7,353.2,82.9,37.4,49.5,16.8,10.4,26.1,23,53.2,0,0,49.8,4.1,71342,0,0,0,3,BOX ELDER
50,30050,90.1,244.8,2.716981132,466.3,42,102.8,321.5,521.5,25.3,16.7,65.8,37,41.9,124.6,88.7,66.3,0,0,48.2,7,71342,0,0,0,3,BOX ELDER
51,30051,49.8,227.7,4.572289157,87.4,5.3,34.2,47.9,104.4,3.2,2.1,14.9,19.3,16.6,4.1,18.9,8.3,0,0,13.7,3.3,53556,0,0,0,3,BOX ELDER
52,30052,46,95.8,2.082608696,1800.4,0,84.4,1716,1802.8,0,0,84.4,0,0,0,13.6,1702.4,0,0,0,2.4,36260,0,0,0,3,BOX ELDER
