;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
1771,350866,754.6666667,2436.015418,3.227935625,0,0,0,0,87.00155692,0,0,0,0,0,0,0,0,0,0,31.32403349,55.67752344,56502,0,0,0,35,SALT LAKE
1772,350867,316.5,1074.98627,3.396481107,0,0,0,0,33.55222323,0,0,0,0,0,0,0,0,0,0,10.38102966,23.17119357,83804,0,0,0,35,SALT LAKE
1773,350868,503.5,1700.820622,3.377995277,26.5,5.333333333,0.333333333,20.83333333,81.85614103,0.333333333,5,0.333333333,0,6.833333333,0,5.333333333,8.666666667,1.004544137,0,17.34433142,37.00726547,90315,0,0,0,35,SALT LAKE
1774,350869,154,521.7938171,3.38827154,562.5,184.5,188.8333333,189.1666667,596.9673627,153,31.5,0,188.8333333,1.5,7,123.3333333,57.33333333,0,0,23.4652186,11.00214406,79691,0,0,0,35,SALT LAKE
1775,350870,332.6666667,1134.889486,3.411491442,362,253.1666667,19,89.83333333,409.5848732,93.66666667,159.5,0.333333333,18.66666667,0.5,4.5,19.83333333,65,0,0,23.24676442,24.33810876,79691,0,0,0,35,SALT LAKE
1776,350871,9,21.32832998,2.369814442,297.3333333,1.666666667,52.33333333,243.3333333,308.3586475,1.5,0.166666667,1,51.33333333,0.166666667,64.33333333,0,178.8333333,0,0,10.02511927,1.000194915,79691,0,0,0,35,SALT LAKE
1777,350872,345.5,1064.650676,3.081478077,263.3333333,37.33333333,3.5,222.5,308.7639438,2.833333333,34.5,0.166666667,3.333333333,2.333333333,1.333333333,152,66.83333333,0,0,19.9256645,25.50494596,73244,0,0,0,35,SALT LAKE
1778,350873,222.6666667,707.5823718,3.177765143,266.6666667,0.666666667,21,245,299.8670028,0.666666667,0,1.5,19.5,2.666666667,67.83333333,63.5,111,1.004544137,0,16.02597745,16.16981454,73487,0,0,0,35,SALT LAKE
1779,350874,964.5,2394.731237,2.482873236,572.8333333,124.5,0.166666667,448.1666667,695.2149775,102.3333333,22.16666667,0.166666667,0,78.83333333,16.83333333,40.66666667,311.8333333,0,0,51.20112884,71.18051537,49551,0,0,0,35,SALT LAKE
1780,350875,566.1666667,1653.997692,2.92139716,1488.166667,226,18.66666667,1243.5,1600.62207,127.8333333,98.16666667,13.33333333,5.333333333,95.33333333,84,119.3333333,944.8333333,1.004544137,0,69.77606455,41.67479463,59740,0,0,0,35,SALT LAKE
1781,350876,282.1666667,788.5067989,2.794471821,718.6666667,174.6666667,21.66666667,522.3333333,780.8694593,99.66666667,75,15.5,6.166666667,63,89.33333333,107.8333333,262.1666667,0,0,41.0319791,21.17081349,81590,0,0,0,35,SALT LAKE
1782,350877,5,13.07198799,2.614397597,982.8333333,6.166666667,729.6666667,247,1019.024434,6,0.166666667,630.6666667,99,15.16666667,46.5,120.6666667,64.66666667,2.009088274,0,33.68187133,0.500141321,56502,0,0,0,35,SALT LAKE
1783,350878,0,0,0,408.5,2.166666667,164.8333333,241.5,517.310978,0.5,1.666666667,6.666666667,158.1666667,30.83333333,29.33333333,0.666666667,180.6666667,19.4216929,15.51153992,73.87774522,0,76192,0,0,0,35,SALT LAKE
1784,350879,0,0,0,8,0,0,8,8.26181892,0,0,0,0,0,5.666666667,0,2.333333333,0,0,0.26181892,0,111741,0,0,0,35,SALT LAKE
1785,350880,0,0,0,156.5,0.166666667,151.1666667,5.166666667,161.6207077,0,0.166666667,151.1666667,0,0.166666667,4.833333333,0,0.166666667,0,0,5.120707715,0,111741,0,0,0,35,SALT LAKE
1786,350881,0.833333333,0.833333333,1,1447.5,115.6666667,415.6666667,916.1666667,1494.860117,106.6666667,9,19,396.6666667,102.3333333,42.83333333,0.5,770.5,0,0,47.36011663,0,60946,0,0,0,35,SALT LAKE
